	src	dest	pathway	source	type	src_tf	dest_tf	species
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH1	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Activated NOTCH1 Transmits Signal to the Nucleus	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH1 PEST Domain Mutants in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH1 in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Constitutive Signaling by NOTCH1 PEST Domain Mutants	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH1 HD Domain Mutants in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Constitutive Signaling by NOTCH1 HD Domain Mutants	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH1	ADAM10	NOTCH1	Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH2	ADAM10	NOTCH2	Signaling by NOTCH	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
ADAM10_NOTCH2	ADAM10	NOTCH2	Signaling by NOTCH2	Reactome	Control(Out: ACTIVATION of BiochemicalReaction)	NO	NO	Human
